Epoch,Batch Size,Loss,Optimizer,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,64,CrossEntropyLoss,RMSP,0.5793,0.7021,0.6220,0.6414
2,64,CrossEntropyLoss,RMSP,0.6893,0.5902,0.6886,0.6136
3,64,CrossEntropyLoss,RMSP,0.7803,0.4715,0.8025,0.4221
4,64,CrossEntropyLoss,RMSP,0.8252,0.3898,0.8250,0.3810
5,64,CrossEntropyLoss,RMSP,0.8596,0.3219,0.8216,0.4095
6,64,CrossEntropyLoss,RMSP,0.8846,0.2719,0.8226,0.4268
7,64,CrossEntropyLoss,RMSP,0.9052,0.2240,0.8631,0.3138
8,64,CrossEntropyLoss,RMSP,0.9255,0.1802,0.8634,0.3648
9,64,CrossEntropyLoss,RMSP,0.9420,0.1460,0.8720,0.3070
10,64,CrossEntropyLoss,RMSP,0.9544,0.1131,0.8889,0.3057
