Epoch,Batch Size,Loss,Optimizer,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,32,CrossEntropyLoss,Adam,0.5014,0.6933,0.4991,0.6932
2,32,CrossEntropyLoss,Adam,0.4972,0.6934,0.5012,0.6932
3,32,CrossEntropyLoss,Adam,0.5009,0.6933,0.4991,0.6934
4,32,CrossEntropyLoss,Adam,0.4995,0.6932,0.5011,0.6933
5,32,CrossEntropyLoss,Adam,0.4925,0.6933,0.4992,0.6932
6,32,CrossEntropyLoss,Adam,0.4997,0.6933,0.5009,0.6932
7,32,CrossEntropyLoss,Adam,0.498,0.6933,0.5009,0.6931
8,32,CrossEntropyLoss,Adam,0.5065,0.6931,0.5009,0.6932
9,32,CrossEntropyLoss,Adam,0.5016,0.6932,0.4989,0.6934
10,32,CrossEntropyLoss,Adam,0.4998,0.6933,0.4991,0.6932
