Epoch,Batch Size,Loss,Optimizer,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,8,CrossEntropyLoss,RMSprop,0.6157,0.6522,0.3448,0.3095
2,8,CrossEntropyLoss,RMSprop,0.759,0.5012,0.4037,0.21
3,8,CrossEntropyLoss,RMSprop,0.8265,0.3923,0.416,0.202
4,8,CrossEntropyLoss,RMSprop,0.8597,0.3246,0.4196,0.1729
5,8,CrossEntropyLoss,RMSprop,0.8844,0.2739,0.4352,0.1688
6,8,CrossEntropyLoss,RMSprop,0.9037,0.2339,0.4191,0.1885
7,8,CrossEntropyLoss,RMSprop,0.9217,0.1953,0.4418,0.1357
8,8,CrossEntropyLoss,RMSprop,0.9326,0.1688,0.4479,0.1328
9,8,CrossEntropyLoss,RMSprop,0.9429,0.1436,0.4475,0.1775
10,8,CrossEntropyLoss,RMSprop,0.9513,0.1296,0.4484,0.173
