Epoch,Batch Size,Loss,Optimizer,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,16,CrossEntropyLoss,Adam,0.623001397,0.64558202,0.700025618,0.586511791
2,16,CrossEntropyLoss,Adam,0.7312603,0.544260263,0.757461965,0.490966946
3,16,CrossEntropyLoss,Adam,0.793930948,0.446860731,0.808457911,0.438062429
4,16,CrossEntropyLoss,Adam,0.8322649,0.377294362,0.841463447,0.36453867
5,16,CrossEntropyLoss,Adam,0.857725561,0.324650347,0.859276474,0.324825495
6,16,CrossEntropyLoss,Adam,0.882863343,0.27328214,0.870559394,0.319591135
7,16,CrossEntropyLoss,Adam,0.903753936,0.229012638,0.870159507,0.311051458
8,16,CrossEntropyLoss,Adam,0.918341875,0.199698359,0.877356052,0.300621271
9,16,CrossEntropyLoss,Adam,0.936433792,0.157413319,0.87375766,0.341175884
10,16,CrossEntropyLoss,Adam,0.946108878,0.133940786,0.877799988,0.336999238
